id,code,name,keywords
TCMS000431,B02.07.03.01.03,邪热炽盛证,热邪偏盛证；火邪炽盛证；火热炽盛证
TCMS000432,B02.07.03.01.04,热盛气滞证,热郁气滞证
TCMS000433,B02.07.03.01.05,邪热郁蒸证,热邪郁蒸证
TCMS000434,B02.07.03.01.06,邪热内郁证,热邪内郁证；火邪郁结证
TCMS000435,B02.07.03.01.07,邪热壅结证,邪热内结证；热邪壅结证
TCMS000436,B02.07.03.01.08,热盛动风证,热极动风证；热极生风证；热盛生风证
TCMS000437,B02.07.03.01.09,邪热内陷证,温邪内陷证
TCMS000438,B02.07.03.01.09.01,热陷心包证,热入心包证；热闭心包证
TCMS000439,B02.07.03.01.09.02,热陷厥阴证,
TCMS000440,B02.07.03.01.09.03,邪热内闭证,热闭证；阳热内闭证
TCMS000441,B02.07.03.02.,热在肺卫证,
TCMS000442,B02.07.03.02.01,热入肺卫证,
TCMS000443,B02.07.03.02.02,热壅肺窍证,
