id,code,name,keywords
TCM001196,A14.01.01,急乳蛾,
TCM001197,A14.01.02,慢乳蛾,
TCM001198,A14.02,石蛾,
TCM001199,A14.03,喉痹,
TCM001200,A14.03.01,急喉痹,
TCM001201,A14.03.02,慢喉痹,
TCM001202,A14.04,喉痈,
TCM001203,A14.04.01,喉关痈,
TCM001204,A14.04.02,里喉痈,
TCM001205,A14.04.03,颌下痈,
TCM001206,A14.04.04,上腭痈,
TCM001207,A14.05,喉瘖,喉喑
TCM001208,A14.05.01,暴瘖,暴喑|急喉喑
TCM001209,A14.05.02,久瘖,久喑|慢喉喑
TCM001210,A14.06,急喉风,喉风|锁喉风
TCM001211,A14.07,飞扬喉,
TCM001212,A14.08,喉咳,
TCM001213,A14.09,梅核气,
TCM001214,A14.10,喉痨,喉癣
TCM001215,A14.11,异物哽喉,骨鲠
TCM001217,A15.01,龋齿,
TCM001218,A15.02,牙痈,
TCM001219,A15.03,牙咬痈,尽牙痈|合架风
TCM001220,A15.04,牙宣,
TCM001221,A15.05,牙漏,齿漏|齿漏疳
TCM001222,A15.06,齿槽风,骨槽风|穿腮毒
TCM001223,A15.07,牙疳,
TCM001224,A15.08,走马牙疳,
TCM001225,A15.09,口疳,口疮
TCM001226,A15.10,口糜,
TCM001227,A15.11,唇湿,
TCM001228,A15.12,唇风,驴嘴风
TCM001229,A15.13,唇裂,
TCM001230,A15.14,茧唇,
TCM001231,A15.15,涎石,
TCM001232,A15.16,口舌痰包,舌下痰包
TCM001233,A15.17,舌痈,
TCM001234,A15.18,重舌,莲花舌
TCM001235,A15.19,木舌,
TCM001236,A15.20,结舌,连舌|绊舌
TCM001239,A16.01.01,积病,癥积
TCM001240,A16.01.02,聚病,瘕病
TCM001241,A16.01.03,伏梁,伏梁积气|心积伏梁
TCM001242,A16.01.04,肥气,肝积
TCM001243,A16.01.05,痞气,脾积气|脾积痞气
TCM001244,A16.01.06,食瘕,
TCM001245,A16.01.07,肺积,息贲
TCM001246,A16.01.08,奔豚,奔豚气|贲豚|贲豚气|肾积气
TCM001248,A16.02.01,气瘤,
TCM001249,A16.02.02,血瘤,
TCM001250,A16.02.03,血痣,
TCM001251,A16.02.04,肉瘤,
TCM001252,A16.02.05,筋瘤,
TCM001253,A16.02.06,胶瘤,
TCM001254,A16.02.07,脂瘤,粉瘤
TCM001255,A16.02.08,发瘤,
